,hardware - num zips,strap length,num compartments,num components,num colors,volume,num functionality,hardware - metal type,hardware - strap type,inner material,price,accessories_Buckle,accessories_Chain,"accessories_Chain, Turnlock",accessories_Clasp,accessories_Crystals,accessories_Lock,accessories_Logo,accessories_Other,accessories_Pieces,accessories_Strap,bag style_Clutch,bag style_Handle Bag,bag style_Purse,bag style_Shoulder Bag,bag style_Tote,major color_Beige,major color_Black,major color_Blue,major color_Brown,major color_Burgundy,major color_Gold,major color_Green,major color_Grey,major color_Multicolor,major color_Orange,major color_Pink,major color_Purple,major color_Red,major color_Silver,major color_White,major color_Yellow,skin type_Alligator,skin type_Calf,skin type_Canvas,skin type_Crocodile,skin type_Crystal,skin type_Embroidery,skin type_Epi,skin type_Lamb,skin type_Leather,skin type_Lizard,skin type_Others,skin type_Python,skin type_Snake
87,0,30.0,1,6,1,806.0500000000002,2,0,3,5,3650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,1,10.0,3,3,1,894.8520000000002,2,0,3,3,4150,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,0,10.0,1,10,1,1326.6,2,0,3,3,3900,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,1,10.0,6,10,1,1120.0,2,2,3,3,4250,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,2,10.0,3,7,1,1067.22,2,5,3,2,3500,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,0,30.0,1,5,1,225.58900000000003,2,2,3,3,3800,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,1,65.0,2,6,1,1386.0,2,5,3,5,4000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,0,10.0,2,5,1,585.0,2,3,3,2,4500,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,0,10.0,2,5,1,585.0,2,3,3,2,4550,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,0,10.0,2,5,1,585.0,2,5,3,2,37200,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,0,10.0,2,4,1,252.0,2,3,3,2,4150,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,0,10.0,2,5,1,252.0,2,3,3,2,7500,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,0,50.0,2,4,1,144.0,2,5,1,2,7000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,0,50.0,2,3,1,162.0,2,5,3,2,3850,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,0,50.0,2,3,1,162.0,2,5,3,2,24800,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
